cell,x,y,z,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CR0384e620e-1,728.82275390625,351.73828125,17.3681640625,4,32,1.197,1.149,26.73,0.803,0.8525,0.4375,50
CR0384e620e-2,733.868134469697,350.11482007575756,17.410748106060606,3,66,4.959,1.838,13.31,0.9988,0.9973,0.7424242424242424,50
CR0384e620e-3,730.0285326086956,355.17934782608694,18.019701086956523,2,23,3.096,6.356,7.43,0.9955,0.8061,1.0,50
CR0384e620e-4,729.7935855263158,358.1827302631579,17.765625,3,95,2.97,4.9,31.99,0.9989,0.9225,0.8842105263157894,50
CR0384e620e-5,734.1083669354839,355.5715725806452,17.184475806451612,3,31,2.677,1.965,11.58,0.9943,0.8626,0.9032258064516129,50
CR0384e620e-6,728.253125,363.83625,17.95328125,3,100,3.516,1.211,28.44,0.9917,0.9718,0.73,50
CR0384e620e-7,744.6923415492957,351.5266285211268,16.924075704225352,4,71,2.167,1.255,32.77,0.9851,0.987,0.8450704225352113,50
CR0384e620e-8,725.83984375,367.66796875,17.76171875,2,4,32.1,212.3,0.1246,0.9706,1.0,0.25,50
CR0384e620e-9,740.4500269396551,356.67416487068965,17.41002155172414,3,116,2.705,3.786,42.89,0.9961,0.9086,0.8103448275862069,50
CR0384e620e-10,748.5279017857143,349.7232142857143,16.813616071428573,1,14,3.902,11.78,3.588,0.9904,0.7886,0.8571428571428571,50
CR0384e620e-11,738.1193426724138,362.9620150862069,17.46417025862069,3,58,5.37,2.304,10.8,0.9992,0.8641,0.7931034482758621,50
CR0384e620e-12,734.1380635245902,363.3907530737705,18.612704918032787,2,122,4.191,1.059,29.11,0.9985,0.8813,0.8852459016393442,50
CR0384e620e-13,730.85888671875,368.4443359375,18.951171875,1,32,2.317,4.019,13.81,0.9947,0.8194,0.875,50
CR0384e620e-14,729.2460029069767,372.43713662790697,18.002422480620154,3,129,3.244,1.384,39.77,0.9944,0.9203,0.6744186046511628,50
CR0384e620e-15,737.8638392857143,359.64955357142856,17.21875,1,7,8.985,6.143,0.7791,0.9777,0.8543,1.0,50
CR0384e620e-16,748.6619791666667,354.4140625,17.95625,2,30,3.242,2.535,9.253,0.9965,0.8693,0.9,50
CR0384e620e-17,752.584375,350.9290625,16.9628125,4,50,3.754,1.957,13.32,0.9981,0.9692,0.64,50
CR0384e620e-18,746.7073660714286,360.79765625,17.05424107142857,4,140,3.683,1.864,38.01,0.9991,0.9184,0.9357142857142857,50
CR0384e620e-19,730.6986607142857,376.1875,17.761160714285715,1,7,36.12,7.981,0.1938,0.9992,0.5771,0.8571428571428571,50
CR0384e620e-20,739.1788194444445,366.64409722222223,18.88888888888889,3,9,12.13,3.169,0.7417,0.9994,0.7267,1.0,50
CR0384e620e-21,750.45654296875,356.14990234375,16.85400390625,4,32,4.474,3.237,7.153,0.9989,0.8725,1.0,50
CR0384e620e-22,740.9628472222222,362.50416666666666,17.757986111111112,4,45,2.663,1.568,16.9,0.9986,0.8329,0.9333333333333333,50
CR0384e620e-23,726.9261363636364,378.2073863636364,17.036931818181817,1,11,3.299,9.219,3.334,0.9248,0.8873,0.6363636363636364,50
CR0384e620e-24,726.9322916666666,381.0329861111111,18.04513888888889,4,9,8.13,2.682,1.107,0.9258,0.9756,1.0,50
CR0384e620e-25,736.193493150685,373.74229452054794,17.346746575342465,1,73,1.434,3.384,50.9,0.9831,0.934,0.6986301369863014,50
CR0384e620e-26,737.5895454545455,367.27107954545454,19.56125,2,275,6.286,1.662,43.75,0.9991,0.9184,0.9163636363636364,50
CR0384e620e-27,746.4714673913044,362.8491847826087,18.449388586956523,3,46,3.677,2.581,12.51,0.9991,0.8052,0.8478260869565217,50
CR0384e620e-28,734.7130608974359,380.7185096153846,17.533533653846153,3,390,5.277,3.637,73.91,0.9984,0.9287,0.9538461538461539,50
CR0384e620e-29,730.8508522727273,381.06392045454544,18.367897727272727,3,11,11.54,17.64,0.9531,0.9898,1.0,0.7272727272727273,50
CR0384e620e-30,759.3477543969849,352.1704616834171,17.683417085427134,4,199,5.636,1.192,35.31,0.9992,0.9624,0.964824120603015,50
CR0384e620e-31,754.3421391752578,357.979435137457,17.28468642611684,3,291,6.673,1.255,43.61,0.9991,0.8767,0.8247422680412371,50
CR0384e620e-32,740.1605902777778,370.7303240740741,17.549479166666668,3,54,3.91,4.18,13.81,0.9967,0.9204,0.7037037037037037,50
CR0384e620e-33,758.9491540055249,357.42498273480663,17.267006215469614,3,181,5.985,1.046,30.24,0.9957,0.8814,0.9392265193370166,50
CR0384e620e-34,764.0600961538462,350.1484375,16.721754807692307,4,26,3.936,2.088,6.606,0.998,0.81,0.9230769230769231,50
CR0384e620e-35,746.248046875,372.08984375,16.83984375,1,8,3.153,5.941,2.537,0.8639,0.82,0.875,50
CR0384e620e-36,727.5453125,387.6828125,17.1140625,1,50,2.068,4.356,24.18,0.9725,0.9808,0.5,50
CR0384e620e-37,769.8097098214286,349.1595982142857,16.543526785714285,3,28,2.498,1.711,11.21,0.9635,1.0,0.9285714285714286,50
CR0384e620e-38,767.0768229166666,351.625,17.251302083333332,4,12,8.493,8.604,1.413,0.9586,1.0,1.0,50
CR0384e620e-39,754.3854166666666,358.75,19.083333333333332,4,3,21.1,2.388,0.1422,0.9991,0.52,1.0,50
CR0384e620e-40,755.3434175531914,373.28224734042556,17.386968085106382,1,47,1.372,4.709,34.25,0.9785,0.8843,0.8085106382978723,50
CR0384e620e-41,729.125,392.4921875,17.2890625,1,2,NaN,NaN,NaN,0.9994,0.5,1.0,50
CR0384e620e-42,753.3311737804878,365.9958079268293,17.17016006097561,3,82,2.101,1.371,39.03,0.9882,0.8846,0.7560975609756098,50
CR0384e620e-43,733.7986208100559,389.34418645251395,17.83877444134078,3,179,4.492,4.536,39.85,0.9973,0.9201,0.9050279329608939,50
CR0384e620e-44,736.171875,385.47544642857144,16.890625,1,7,15.23,1.609,0.4596,0.9989,0.8229,0.8571428571428571,50
CR0384e620e-45,758.189453125,368.986328125,18.591796875,3,8,5.464,2.814,1.464,0.9779,0.9175,0.75,50
CR0384e620e-46,768.94765625,358.38515625,16.86484375,2,20,6.447,2.093,3.102,0.9993,0.957,0.95,50
CR0384e620e-47,765.6798691860465,356.6825944767442,17.299418604651162,4,86,2.044,3.622,42.07,0.996,0.9049,0.5930232558139535,50
CR0384e620e-48,774.1789772727273,352.85227272727275,16.8125,4,11,4.486,1.916,2.452,0.937,0.9745,0.7272727272727273,50
CR0384e620e-49,748.2710280373832,368.9573598130841,17.34418808411215,3,107,2.796,3.268,38.27,0.9932,0.9153,0.8504672897196262,50
CR0384e620e-50,739.4391447368421,388.1196546052632,18.683388157894736,3,38,6.488,3.939,5.857,0.9925,0.8721,0.9736842105263158,50
CR0384e620e-51,760.0734375,365.2044270833333,17.51640625,2,120,1.806,1.55,66.43,0.9954,0.8765,0.8833333333333333,50
CR0384e620e-52,726.140625,397.8984375,21.328125,2,2,NaN,NaN,NaN,0.9918,1.0,1.0,50
CR0384e620e-53,741.4550426136364,383.3984375,17.314204545454544,3,220,4.961,1.853,44.35,0.9982,0.8579,0.9590909090909091,50
CR0384e620e-54,728.8981846252129,402.00026618398635,18.837867333901194,3,587,10.21,1.165,57.48,0.9993,0.8789,0.9846678023850085,50
CR0384e620e-55,744.2951388888889,387.1507936507937,16.92981150793651,3,126,6.244,2.059,20.18,0.9992,0.7987,0.9920634920634921,50
CR0384e620e-56,729.426775147929,395.9120284763314,18.61048446745562,3,338,7.367,1.291,45.88,0.9992,0.8307,0.9437869822485208,50
CR0384e620e-57,759.75625,371.78046875,17.8515625,4,20,3.093,6.313,6.466,0.958,0.93,0.7,50
